,instance_indexinmglist,study_instance_indexinmglist
138618,1314369_0,67134_1314369_0
138622,1314369_1,67134_1314369_1
138680,1314596_1,67145_1314596_1
138684,1314596_2,67145_1314596_2
138694,1314934_0,67163_1314934_0
138698,1314934_1,67163_1314934_1
138718,1314945_0,67163_1314945_0
138722,1314945_1,67163_1314945_1
138766,1315258_0,67178_1315258_0
138770,1315258_1,67178_1315258_1
138838,1315410_0,67183_1315410_0
138842,1315410_1,67183_1315410_1
138883,1316022_1,67220_1316022_1
138887,1316022_2,67220_1316022_2
138897,1316035_0,67220_1316035_0
138901,1316035_1,67220_1316035_1
138910,1316116_0,67221_1316116_0
138914,1316116_1,67221_1316116_1
138927,1316131_0,67221_1316131_0
138931,1316131_1,67221_1316131_1
138952,1316169_0,67226_1316169_0
138956,1316169_1,67226_1316169_1
138976,1316194_0,67226_1316194_0
138980,1316194_1,67226_1316194_1
139001,1316348_0,67231_1316348_0
139005,1316348_1,67231_1316348_1
139009,1316314_1,67231_1316314_1
139013,1316314_2,67231_1316314_2
139047,1316398_0,67233_1316398_0
139051,1316398_1,67233_1316398_1
139062,1316414_0,67233_1316414_0
139066,1316414_1,67233_1316414_1
139079,1316467_0,67235_1316467_0
139083,1316467_1,67235_1316467_1
139110,1316579_0,67237_1316579_0
139114,1316579_1,67237_1316579_1
139161,1317117_0,67270_1317117_0
139165,1317117_1,67270_1317117_1
139178,1317231_0,67277_1317231_0
139182,1317231_1,67277_1317231_1
139206,1317288_0,67279_1317288_0
139210,1317288_1,67279_1317288_1
139235,1317382_0,67284_1317382_0
139239,1317382_1,67284_1317382_1
139259,1317516_0,67289_1317516_0
139263,1317516_1,67289_1317516_1
139312,1317699_0,67300_1317699_0
139313,1317678_0,67300_1317678_0
139314,1317699_1,67300_1317699_1
139315,1317678_1,67300_1317678_1
139338,1317678_2,67300_1317678_2
139343,1317699_3,67300_1317699_3
139373,1317734_0,67304_1317734_0
139377,1317734_1,67304_1317734_1
139406,1317769_0,67306_1317769_0
139410,1317769_1,67306_1317769_1
139421,1317787_0,67306_1317787_0
139425,1317787_1,67306_1317787_1
139442,1317842_0,67310_1317842_0
139446,1317842_1,67310_1317842_1
139456,1317910_0,67313_1317910_0
139460,1317910_1,67313_1317910_1
139504,1318495_0,67336_1318495_0
139508,1318495_1,67336_1318495_1
139535,1318540_0,67337_1318540_0
139539,1318540_1,67337_1318540_1
139582,1318705_0,67343_1318705_0
139586,1318705_1,67343_1318705_1
139608,1318759_0,67346_1318759_0
139612,1318759_1,67346_1318759_1
139616,1318771_0,67346_1318771_0
139620,1318771_1,67346_1318771_1
139661,1319203_1,67360_1319203_1
139662,1319196_0,67360_1319196_0
139685,1319200_0,67360_1319200_0
139689,1319200_1,67360_1319200_1
139693,1319200_2,67360_1319200_2
139695,-1_-1,67361_-1_-1
139718,1319557_0,67377_1319557_0
139722,1319557_1,67377_1319557_1
139743,1319569_0,67377_1319569_0
139747,1319569_1,67377_1319569_1
139758,1319582_0,67378_1319582_0
139762,1319582_1,67378_1319582_1
139796,1319611_0,67379_1319611_0
139800,1319611_1,67379_1319611_1
139804,1319622_0,67379_1319622_0
139808,1319622_1,67379_1319622_1
139831,1319639_0,67380_1319639_0
139835,1319639_1,67380_1319639_1
139907,1319903_0,67390_1319903_0
139911,1319903_1,67390_1319903_1
139921,1319926_0,67391_1319926_0
139925,1319926_1,67391_1319926_1
139960,1320016_1,67395_1320016_1
139964,1320016_2,67395_1320016_2
139987,1320204_0,67404_1320204_0
139991,1320204_1,67404_1320204_1
140007,1320245_0,67406_1320245_0
140011,1320245_1,67406_1320245_1
140032,1320271_0,67407_1320271_0
140036,1320271_1,67407_1320271_1
140086,1320643_0,67430_1320643_0
140090,1320643_1,67430_1320643_1
140123,1320851_0,67440_1320851_0
140127,1320851_1,67440_1320851_1
140144,1320934_0,67441_1320934_0
140148,1320934_1,67441_1320934_1
140213,1321025_0,67445_1321025_0
140217,1321025_1,67445_1321025_1
140248,1321053_0,67446_1321053_0
140252,1321053_1,67446_1321053_1
140256,1321055_0,67446_1321055_0
140260,1321055_1,67446_1321055_1
140272,1321065_0,67447_1321065_0
140276,1321065_1,67447_1321065_1
140280,1321074_0,67447_1321074_0
140284,1321074_1,67447_1321074_1
140332,1321106_0,67448_1321106_0
140336,1321106_1,67448_1321106_1
140359,1321368_0,67456_1321368_0
140360,1321368_1,67456_1321368_1
140398,1321405_0,67459_1321405_0
140399,1321407_1,67459_1321407_1
140411,1321407_2,67459_1321407_2
140423,1321478_0,67460_1321478_0
140427,1321478_1,67460_1321478_1
140468,1321515_0,67465_1321515_0
140484,1321543_0,67466_1321543_0
140488,1321543_1,67466_1321543_1
140533,1321584_0,67469_1321584_0
140537,1321584_1,67469_1321584_1
140568,1321703_0,67474_1321703_0
140572,1321703_1,67474_1321703_1
140581,1321739_0,67476_1321739_0
140585,1321739_1,67476_1321739_1
140629,1321851_0,67482_1321851_0
140633,1321851_1,67482_1321851_1
140688,1321899_0,67484_1321899_0
140692,1321899_1,67484_1321899_1
140720,1322069_0,67490_1322069_0
140721,1322070_0,67490_1322070_0
140722,1322069_1,67490_1322069_1
140723,1322070_1,67490_1322070_1
140752,1322134_0,67494_1322134_0
140756,1322134_1,67494_1322134_1
140776,1322220_0,67496_1322220_0
140780,1322220_1,67496_1322220_1
140821,1322246_0,67497_1322246_0
140825,1322246_1,67497_1322246_1
140857,1322297_0,67498_1322297_0
140861,1322297_1,67498_1322297_1
140887,1322377_0,67501_1322377_0
140891,1322377_1,67501_1322377_1
140920,1322460_0,67504_1322460_0
140924,1322460_1,67504_1322460_1
140928,1322468_0,67504_1322468_0
140932,1322468_1,67504_1322468_1
140995,1322522_1,67508_1322522_1
140999,1322522_2,67508_1322522_2
141036,1322725_0,67516_1322725_0
