,instance_indexinmglist,study_instance_indexinmglist
0,57164_0,2882_57164_0
4,57164_1,2882_57164_1
28,58207_0,2966_58207_0
32,58207_1,2966_58207_1
81,102950_0,5898_102950_0
85,102950_1,5898_102950_1
132,105943_0,6085_105943_0
136,105943_1,6085_105943_1
142,105951_0,6086_105951_0
146,105951_1,6086_105951_1
203,106084_0,6092_106084_0
204,106089_0,6092_106089_0
211,106089_1,6092_106089_1
215,106319_1,6104_106319_1
219,106319_0,6104_106319_0
220,106319_2,6104_106319_2
296,110428_0,6363_110428_0
300,110429_0,6363_110429_0
320,110455_0,6364_110455_0
324,110455_1,6364_110455_1
340,111573_0,6421_111573_0
351,111573_1,6421_111573_1
380,113121_0,6516_113121_0
384,113121_1,6516_113121_1
395,114265_0,6611_114265_0
399,114265_1,6611_114265_1
408,114501_0,6635_114501_0
409,114516_0,6635_114516_0
416,114501_1,6635_114501_1
417,114516_1,6635_114516_1
429,115136_0,6670_115136_0
433,115136_1,6670_115136_1
447,115185_0,6673_115185_0
451,115185_1,6673_115185_1
468,116021_0,6729_116021_0
472,116021_1,6729_116021_1
483,116064_0,6732_116064_0
487,116064_1,6732_116064_1
522,116149_0,6737_116149_0
526,116149_1,6737_116149_1
560,116279_0,6746_116279_0
564,116279_1,6746_116279_1
622,117040_0,6808_117040_0
626,117040_1,6808_117040_1
652,117616_0,6852_117616_0
656,117616_1,6852_117616_1
673,118258_0,6892_118258_0
677,118258_1,6892_118258_1
688,118277_0,6893_118277_0
692,118277_1,6893_118277_1
701,118399_0,6899_118399_0
705,118399_1,6899_118399_1
776,119931_1,6996_119931_1
780,119931_2,6996_119931_2
794,120088_0,7006_120088_0
798,120088_1,7006_120088_1
809,120734_0,7051_120734_0
813,120734_1,7051_120734_1
830,121948_0,7130_121948_0
834,121948_1,7130_121948_1
848,122302_0,7159_122302_0
852,122302_1,7159_122302_1
860,124013_0,7265_124013_0
864,124013_1,7265_124013_1
871,124040_0,7269_124040_0
875,124040_1,7269_124040_1
901,124998_0,7331_124998_0
905,124998_1,7331_124998_1
911,125143_0,7341_125143_0
915,125143_1,7341_125143_1
935,125440_0,7360_125440_0
939,125440_1,7360_125440_1
957,125620_0,7374_125620_0
961,125620_1,7374_125620_1
974,125873_0,7389_125873_0
978,125873_1,7389_125873_1
997,126020_0,7397_126020_0
1001,126020_1,7397_126020_1
1014,126264_0,7413_126264_0
1018,126264_1,7413_126264_1
1022,126314_0,7416_126314_0
1026,126314_1,7416_126314_1
1048,126430_0,7424_126430_0
1052,126430_1,7424_126430_1
1073,126842_0,7456_126842_0
1077,126842_1,7456_126842_1
1098,127754_0,7513_127754_0
1102,127754_1,7513_127754_1
1106,129566_0,7641_129566_0
1110,129567_0,7641_129567_0
1150,132819_0,7844_132819_0
1154,132819_1,7844_132819_1
1197,134680_0,7946_134680_0
1201,134679_0,7946_134679_0
1242,136533_0,8045_136533_0
1246,136532_0,8045_136532_0
1280,138324_0,8154_138324_0
1284,138324_1,8154_138324_1
1299,138502_0,8163_138502_0
1303,138502_1,8163_138502_1
1315,138626_0,8172_138626_0
1319,138627_0,8172_138627_0
1327,140747_0,8311_140747_0
1331,140747_1,8311_140747_1
1345,141270_0,8348_141270_0
1349,141271_0,8348_141271_0
1365,141891_0,8389_141891_0
1369,141890_0,8389_141890_0
1380,142240_0,8416_142240_0
1384,142240_1,8416_142240_1
1398,142403_0,8425_142403_0
1402,142404_0,8425_142404_0
1413,143026_0,8458_143026_0
1417,143027_0,8458_143027_0
1432,143773_0,8505_143773_0
1436,143774_0,8505_143774_0
1445,143821_0,8507_143821_0
1449,143832_0,8507_143832_0
1471,144297_0,8539_144297_0
1475,144298_0,8539_144298_0
1486,145919_0,8651_145919_0
1490,145920_0,8651_145920_0
1496,147038_0,8736_147038_0
1500,147039_0,8736_147039_0
1513,149059_0,8844_149059_0
1517,149059_1,8844_149059_1
1533,149544_0,8872_149544_0
1537,149544_1,8872_149544_1
1541,149747_0,8882_149747_0
1545,149747_1,8882_149747_1
1562,151022_0,8953_151022_0
1566,151023_0,8953_151023_0
1570,151064_0,8955_151064_0
1574,151065_0,8955_151065_0
1582,151256_0,8968_151256_0
1586,151256_1,8968_151256_1
1599,151661_0,8993_151661_0
1603,151662_0,8993_151662_0
1623,151677_0,8994_151677_0
1627,151677_1,8994_151677_1
1656,152381_0,9035_152381_0
1660,152382_0,9035_152382_0
1666,153447_0,9088_153447_0
1667,153457_0,9088_153457_0
1674,153447_1,9088_153447_1
1675,153457_1,9088_153457_1
1722,153472_0,9089_153472_0
1726,153473_0,9089_153473_0
1730,153652_0,9098_153652_0
1734,153652_1,9098_153652_1
1767,154025_0,9122_154025_0
1771,154025_1,9122_154025_1
1776,154118_0,9128_154118_0
1780,154119_0,9128_154119_0
1824,154515_0,9155_154515_0
1828,154516_0,9155_154516_0
1839,154670_0,9163_154670_0
1843,154671_0,9163_154671_0
1873,155038_0,9189_155038_0
1877,155039_0,9189_155039_0
1887,155228_0,9198_155228_0
1891,155228_1,9198_155228_1
1900,155346_0,9205_155346_0
1904,155346_1,9205_155346_1
1920,156783_0,9285_156783_0
1924,156783_1,9285_156783_1
1938,156903_0,9292_156903_0
1942,156903_1,9292_156903_1
1960,157025_0,9301_157025_0
1964,157025_1,9301_157025_1
1987,157903_0,9356_157903_0
1991,157904_0,9356_157904_0
2023,158228_0,9380_158228_0
2027,158228_1,9380_158228_1
2050,158347_0,9386_158347_0
2054,158347_1,9386_158347_1
2085,158680_0,9413_158680_0
2089,158681_0,9413_158681_0
2119,158721_0,9415_158721_0
2123,158721_1,9415_158721_1
2156,158907_0,9429_158907_0
2160,158905_0,9429_158905_0
2172,159138_0,9442_159138_0
2176,159138_1,9442_159138_1
2205,159430_0,9459_159430_0
2209,159430_1,9459_159430_1
2230,159743_0,9477_159743_0
2234,159743_1,9477_159743_1
2268,159884_0,9484_159884_0
2272,159884_1,9484_159884_1
2306,160288_0,9505_160288_0
2310,160288_1,9505_160288_1
2315,160335_0,9508_160335_0
2321,160335_2,9508_160335_2
2336,160387_0,9510_160387_0
2340,160387_1,9510_160387_1
2347,160853_0,9551_160853_0
2351,160853_1,9551_160853_1
2365,160962_0,9558_160962_0
2369,160962_1,9558_160962_1
2383,161310_0,9583_161310_0
2387,161310_1,9583_161310_1
2391,161797_0,9611_161797_0
2395,161797_1,9611_161797_1
2417,161922_0,9619_161922_0
2421,161922_1,9619_161922_1
2444,162487_0,9657_162487_0
2448,162487_1,9657_162487_1
2455,-1_-1,9662_-1_-1
2456,162575_0,9662_162575_0
2460,162575_1,9662_162575_1
2478,162773_0,9671_162773_0
2482,162773_1,9671_162773_1
2486,-1_-1,9681_-1_-1
2487,162910_0,9681_162910_0
2496,162910_1,9681_162910_1
2505,162917_0,9682_162917_0
2509,162917_1,9682_162917_1
2524,163056_0,9690_163056_0
2528,163056_1,9690_163056_1
2555,163817_0,9748_163817_0
2559,163817_1,9748_163817_1
2585,164028_0,9765_164028_0
2589,164028_1,9765_164028_1
2638,165001_0,9828_165001_0
2642,165001_1,9828_165001_1
2649,-1_-1,9831_-1_-1
2661,165566_0,9867_165566_0
2665,165567_0,9867_165567_0
2684,165912_0,9893_165912_0
2688,165912_1,9893_165912_1
2711,166434_0,9925_166434_0
2715,166434_1,9925_166434_1
2734,167416_0,9992_167416_0
2738,167416_1,9992_167416_1
2756,167510_0,9995_167510_0
2760,167510_1,9995_167510_1
2764,167868_0,10018_167868_0
2768,167868_1,10018_167868_1
2787,168011_0,10026_168011_0
2791,168011_1,10026_168011_1
2881,168401_0,10052_168401_0
2885,168401_1,10052_168401_1
2900,168453_0,10055_168453_0
2904,168453_1,10055_168453_1
2918,168503_0,10057_168503_0
2922,168503_1,10057_168503_1
2949,168796_0,10075_168796_0
2953,168796_1,10075_168796_1
2961,169105_0,10101_169105_0
2965,169105_1,10101_169105_1
2981,169250_0,10110_169250_0
2985,169250_1,10110_169250_1
3007,170267_0,10172_170267_0
3011,170267_1,10172_170267_1
3028,170419_0,10180_170419_0
3032,170419_1,10180_170419_1
3073,171036_0,10217_171036_0
3077,171036_1,10217_171036_1
3112,174449_0,10468_174449_0
3116,174449_1,10468_174449_1
3123,175312_0,10526_175312_0
3127,175312_1,10526_175312_1
3139,175940_0,10563_175940_0
3143,175940_1,10563_175940_1
3153,176807_0,10613_176807_0
3157,176807_1,10613_176807_1
3175,177863_0,10679_177863_0
3179,177863_1,10679_177863_1
3184,178890_0,10736_178890_0
3188,178890_1,10736_178890_1
3222,180741_0,10841_180741_0
3226,180741_1,10841_180741_1
3268,182439_0,10949_182439_0
3272,182439_1,10949_182439_1
3286,183011_0,10981_183011_0
3307,183311_0,10999_183311_0
3311,183311_1,10999_183311_1
3327,183324_0,11001_183324_0
3328,183327_0,11001_183327_0
3335,183324_1,11001_183324_1
3336,183327_1,11001_183327_1
3373,183722_0,11028_183722_0
3377,183722_1,11028_183722_1
3394,183802_0,11031_183802_0
3398,183802_1,11031_183802_1
3471,190367_0,11489_190367_0
3475,190367_1,11489_190367_1
3508,191423_0,11546_191423_0
3512,191423_1,11546_191423_1
3560,191542_0,11552_191542_0
3564,191542_1,11552_191542_1
3580,191596_0,11555_191596_0
3581,191596_2,11555_191596_2
3588,191596_1,11555_191596_1
3606,191886_0,11575_191886_0
3610,191886_1,11575_191886_1
3654,192908_0,11640_192908_0
3658,192908_1,11640_192908_1
3691,194644_0,11738_194644_0
3695,194644_1,11738_194644_1
3764,198684_0,11986_198684_0
3768,198684_1,11986_198684_1
3793,200729_0,12097_200729_0
3797,200729_1,12097_200729_1
3807,201984_0,12171_201984_0
3808,201984_2,12171_201984_2
3809,201988_0,12171_201988_0
3819,201984_1,12171_201984_1
3820,201988_1,12171_201988_1
3847,202850_0,12226_202850_0
3851,202850_1,12226_202850_1
3885,204784_0,12358_204784_0
3886,204786_0,12358_204786_0
3893,204785_0,12358_204785_0
3894,204786_1,12358_204786_1
3908,206386_0,12459_206386_0
3912,206386_1,12459_206386_1
3930,210883_0,12721_210883_0
3934,210883_1,12721_210883_1
3946,211460_0,12755_211460_0
3947,211460_1,12755_211460_1
3972,213407_0,12871_213407_0
3976,213407_1,12871_213407_1
4013,214243_0,12919_214243_0
4017,214243_1,12919_214243_1
4046,223451_0,13453_223451_0
4050,223452_0,13453_223452_0
4139,241254_0,14436_241254_0
4151,257614_0,15366_257614_0
4155,257614_1,15366_257614_1
4243,279281_0,16747_279281_0
4247,279282_0,16747_279282_0
4251,279284_0,16747_279284_0
4252,279286_0,16747_279286_0
4259,279285_0,16747_279285_0
4357,342151_1,20559_342151_1
4358,342151_0,20559_342151_0
4454,387263_0,23330_387263_0
4458,387263_1,23330_387263_1
4481,391665_0,23615_391665_0
4485,391665_1,23615_391665_1
4548,391703_0,23618_391703_0
4552,391703_1,23618_391703_1
4602,391793_0,23625_391793_0
4606,391793_1,23625_391793_1
4614,391863_0,23632_391863_0
4618,391863_1,23632_391863_1
4622,391868_0,23632_391868_0
4626,391868_1,23632_391868_1
4639,392509_0,23684_392509_0
4640,392509_1,23684_392509_1
4661,392570_0,23688_392570_0
4662,392570_1,23688_392570_1
4695,392968_0,23719_392968_0
4699,392968_1,23719_392968_1
4727,392973_0,23719_392973_0
4731,392973_1,23719_392973_1
4739,393079_0,23727_393079_0
4740,393080_0,23727_393080_0
4863,398800_2,24052_398800_2
4867,398800_3,24052_398800_3
4927,420074_0,25291_420074_0
4931,420074_1,25291_420074_1
4935,420078_0,25291_420078_0
4939,420078_1,25291_420078_1
5013,442895_0,26499_442895_0
5017,442895_1,26499_442895_1
5063,446821_0,26699_446821_0
5067,446821_1,26699_446821_1
5137,466272_0,27761_466272_0
5141,466272_1,27761_466272_1
5160,473553_0,28158_473553_0
5161,473544_1,28158_473544_1
5162,473553_1,28158_473553_1
5163,473544_0,28158_473544_0
5206,482152_0,28570_482152_0
5210,482152_1,28570_482152_1
5246,482930_0,28607_482930_0
5250,482930_1,28607_482930_1
5254,482943_0,28607_482943_0
5258,482943_1,28607_482943_1
5288,483545_0,28639_483545_0
5289,483549_0,28639_483549_0
5296,483545_1,28639_483545_1
5297,483549_1,28639_483549_1
5318,483594_1,28642_483594_1
5322,483594_2,28642_483594_2
5333,483609_0,28642_483609_0
5337,483609_1,28642_483609_1
5418,486012_0,28758_486012_0
5422,486012_1,28758_486012_1
5455,500104_0,29412_500104_0
5456,500104_1,29412_500104_1
5619,514945_0,30136_514945_0
5623,514945_1,30136_514945_1
5660,520801_0,30420_520801_0
5664,520801_1,30420_520801_1
5688,521012_0,30431_521012_0
5770,527071_0,30739_527071_0
5774,527071_1,30739_527071_1
5841,528300_0,30793_528300_0
5842,528303_0,30793_528303_0
5843,528303_1,30793_528303_1
5853,528300_1,30793_528300_1
5900,528637_0,30812_528637_0
5904,528637_1,30812_528637_1
6059,531562_0,30950_531562_0
6063,531562_1,30950_531562_1
6122,531849_0,30963_531849_0
6126,531849_1,30963_531849_1
6171,531917_0,30967_531917_0
6175,531917_1,30967_531917_1
6179,531943_0,30967_531943_0
6183,531943_1,30967_531943_1
6201,532018_0,30971_532018_0
6205,532018_1,30971_532018_1
6209,532025_0,30971_532025_0
6213,532025_1,30971_532025_1
6246,532196_0,30982_532196_0
6250,532196_1,30982_532196_1
6271,532203_0,30982_532203_0
6275,532203_1,30982_532203_1
6282,532220_0,30984_532220_0
6286,532220_1,30984_532220_1
6297,532260_0,30984_532260_0
6301,532260_1,30984_532260_1
6326,532435_0,30992_532435_0
6330,532435_1,30992_532435_1
6356,532496_0,30996_532496_0
6375,532599_0,30999_532599_0
6379,532599_1,30999_532599_1
6474,532720_0,31009_532720_0
6478,532720_1,31009_532720_1
6527,533276_0,31040_533276_0
6531,533276_1,31040_533276_1
6567,533391_0,31045_533391_0
6571,533391_1,31045_533391_1
6577,533398_0,31045_533398_0
6581,533398_1,31045_533398_1
6622,534065_0,31074_534065_0
6626,534065_1,31074_534065_1
6691,534399_0,31091_534399_0
6695,534399_1,31091_534399_1
6709,534496_0,31097_534496_0
6713,534496_1,31097_534496_1
6741,534727_0,31110_534727_0
6745,534727_1,31110_534727_1
6793,535295_0,31140_535295_0
6797,535295_1,31140_535295_1
6858,535392_0,31145_535392_0
6862,535392_1,31145_535392_1
6873,535399_0,31145_535399_0
6877,535399_1,31145_535399_1
6897,535544_0,31153_535544_0
6901,535544_1,31153_535544_1
6920,535575_0,31155_535575_0
6924,535575_1,31155_535575_1
6994,535878_0,31168_535878_0
6998,535878_1,31168_535878_1
7002,535880_0,31168_535880_0
7006,535880_1,31168_535880_1
7018,536021_0,31173_536021_0
7022,536021_1,31173_536021_1
7044,536032_0,31176_536032_0
7048,536032_1,31176_536032_1
7186,536402_0,31192_536402_0
7190,536402_1,31192_536402_1
7257,536647_0,31205_536647_0
7261,536647_1,31205_536647_1
7323,536885_0,31216_536885_0
7327,536885_1,31216_536885_1
7331,536887_0,31216_536887_0
7335,536887_1,31216_536887_1
7350,537047_0,31225_537047_0
7354,537047_1,31225_537047_1
7358,537056_0,31225_537056_0
7362,537056_1,31225_537056_1
7463,537195_0,31231_537195_0
7467,537195_1,31231_537195_1
7518,537653_0,31258_537653_0
7522,537653_1,31258_537653_1
7526,537649_0,31258_537649_0
7530,537649_1,31258_537649_1
7585,537905_0,31271_537905_0
7589,537905_1,31271_537905_1
7593,537911_0,31271_537911_0
7597,537911_1,31271_537911_1
7699,538525_0,31304_538525_0
7703,538525_1,31304_538525_1
7761,538577_0,31307_538577_0
7765,538577_1,31307_538577_1
7781,538582_0,31308_538582_0
7782,538586_0,31308_538586_0
7789,538582_1,31308_538582_1
7790,538586_1,31308_538586_1
7882,538927_0,31324_538927_0
7886,538927_1,31324_538927_1
7930,539037_0,31329_539037_0
7934,539037_1,31329_539037_1
7987,539519_0,31356_539519_0
7991,539519_1,31356_539519_1
7999,539531_0,31356_539531_0
8003,539531_1,31356_539531_1
8018,539671_0,31362_539671_0
8022,539671_1,31362_539671_1
8026,539677_0,31362_539677_0
8030,539677_1,31362_539677_1
8103,540139_0,31381_540139_0
8107,540139_1,31381_540139_1
8172,540370_0,31393_540370_0
8176,540370_1,31393_540370_1
8180,540375_0,31393_540375_0
8184,540375_1,31393_540375_1
8285,540859_1,31421_540859_1
8289,540859_2,31421_540859_2
8293,540878_0,31421_540878_0
8297,540878_1,31421_540878_1
8322,541035_0,31427_541035_0
8326,541035_1,31427_541035_1
8385,541413_0,31446_541413_0
8389,541413_1,31446_541413_1
8393,541422_0,31446_541422_0
8397,541422_1,31446_541422_1
8413,541478_0,31449_541478_0
8417,541478_1,31449_541478_1
8445,541886_0,31467_541886_0
8449,541886_1,31467_541886_1
8485,541901_0,31468_541901_0
8486,541901_1,31468_541901_1
8487,541900_0,31468_541900_0
8497,541901_2,31468_541901_2
8498,541900_1,31468_541900_1
8522,542135_0,31484_542135_0
8523,542137_1,31484_542137_1
8530,542135_1,31484_542135_1
8531,542131_1,31484_542131_1
8538,542137_0,31484_542137_0
8542,542131_0,31484_542131_0
8543,542131_2,31484_542131_2
8553,542393_0,31496_542393_0
8557,542393_1,31496_542393_1
8672,543370_0,31554_543370_0
8676,543370_1,31554_543370_1
8761,544254_0,31594_544254_0
8765,544254_1,31594_544254_1
8798,544376_0,31601_544376_0
8802,544376_1,31601_544376_1
8810,544379_0,31601_544379_0
8814,544379_1,31601_544379_1
8991,546688_0,31741_546688_0
8995,546688_1,31741_546688_1
9030,547182_0,31767_547182_0
9034,547182_1,31767_547182_1
9043,547279_0,31771_547279_0
9047,547279_1,31771_547279_1
9070,547414_0,31779_547414_0
9074,547414_1,31779_547414_1
9082,547557_0,31785_547557_0
9086,547557_1,31785_547557_1
9090,547562_0,31785_547562_0
9094,547562_1,31785_547562_1
9111,547636_0,31791_547636_0
9115,547636_1,31791_547636_1
9119,547637_0,31791_547637_0
9123,547637_1,31791_547637_1
9140,547835_0,31800_547835_0
9150,547978_0,31808_547978_0
9154,547978_1,31808_547978_1
9158,547981_0,31808_547981_0
9162,547981_1,31808_547981_1
9187,548273_0,31824_548273_0
9191,548273_1,31824_548273_1
9195,548301_0,31824_548301_0
9199,548301_1,31824_548301_1
9234,549062_0,31861_549062_0
9238,549062_1,31861_549062_1
9332,549933_0,31896_549933_0
9336,549933_1,31896_549933_1
9419,550637_0,31925_550637_0
9423,550637_1,31925_550637_1
9454,550766_0,31933_550766_0
9458,550766_1,31933_550766_1
9516,551175_0,31956_551175_0
9520,551175_1,31956_551175_1
9576,551340_0,31962_551340_0
9580,551340_1,31962_551340_1
9592,551327_0,31963_551327_0
9596,551327_1,31963_551327_1
9604,551332_0,31963_551332_0
9608,551332_1,31963_551332_1
9623,551393_0,31966_551393_0
9627,551393_1,31966_551393_1
9657,551621_0,31977_551621_0
9658,551620_0,31977_551620_0
9659,551621_2,31977_551621_2
9669,551621_1,31977_551621_1
9670,551620_1,31977_551620_1
9728,551858_0,31987_551858_0
9732,551858_1,31987_551858_1
9776,552974_0,32034_552974_0
9780,552974_1,32034_552974_1
9869,554332_0,32100_554332_0
9873,554332_1,32100_554332_1
9983,559053_0,32360_559053_0
9987,559053_1,32360_559053_1
9996,559051_0,32360_559051_0
10000,559051_1,32360_559051_1
10018,559416_0,32382_559416_0
10022,559416_1,32382_559416_1
10028,559418_0,32382_559418_0
10032,559418_1,32382_559418_1
10047,559594_0,32394_559594_0
10051,559594_1,32394_559594_1
10107,561019_0,32471_561019_0
10111,561019_1,32471_561019_1
10147,562456_0,32537_562456_0
10151,562456_1,32537_562456_1
10231,563045_0,32576_563045_0
10235,563045_1,32576_563045_1
10362,565014_0,32698_565014_0
10366,565014_1,32698_565014_1
10399,565067_0,32701_565067_0
10403,565067_1,32701_565067_1
10439,565368_0,32716_565368_0
10443,565368_1,32716_565368_1
10458,567169_0,32831_567169_0
10462,567169_1,32831_567169_1
10514,567926_0,32873_567926_0
10518,567926_1,32873_567926_1
10522,567920_0,32873_567920_0
10526,567920_1,32873_567920_1
10593,568603_0,32911_568603_0
10597,568603_1,32911_568603_1
10621,568822_0,32926_568822_0
10625,568822_1,32926_568822_1
10683,569921_0,32974_569921_0
10687,569921_1,32974_569921_1
10782,570649_0,33017_570649_0
10786,570649_1,33017_570649_1
10803,570662_0,33017_570662_0
10807,570662_1,33017_570662_1
10812,570757_0,33021_570757_0
10816,570757_1,33021_570757_1
10857,571268_0,33045_571268_0
10863,571268_2,33045_571268_2
10867,571269_0,33045_571269_0
10871,571269_1,33045_571269_1
11042,573215_0,33146_573215_0
11046,573215_1,33146_573215_1
11199,575577_0,33282_575577_0
11203,575577_1,33282_575577_1
11226,576444_0,33317_576444_0
11230,576444_1,33317_576444_1
11258,577052_0,33346_577052_0
11262,577052_1,33346_577052_1
11282,577142_0,33350_577142_0
11286,577142_1,33350_577142_1
11290,577143_0,33350_577143_0
11294,577143_1,33350_577143_1
11329,578610_0,33432_578610_0
11333,578610_1,33432_578610_1
11337,578612_0,33432_578612_0
11341,578612_1,33432_578612_1
11421,579559_0,33491_579559_0
11422,579564_1,33491_579564_1
11429,579559_1,33491_579559_1
11433,579563_0,33491_579563_0
11434,579564_0,33491_579564_0
11441,579563_1,33491_579563_1
11501,582206_0,33636_582206_0
11505,582206_1,33636_582206_1
11549,582424_0,33648_582424_0
11553,582424_1,33648_582424_1
11558,582430_0,33648_582430_0
11562,582430_1,33648_582430_1
11639,583237_0,33691_583237_0
11643,583237_1,33691_583237_1
11656,583248_0,33691_583248_0
11657,583248_1,33691_583248_1
11664,583248_2,33691_583248_2
11678,583271_1,33692_583271_1
11682,583271_2,33692_583271_2
11697,583487_0,33701_583487_0
11701,583487_1,33701_583487_1
11705,583486_0,33701_583486_0
11709,583486_1,33701_583486_1
11729,583569_0,33705_583569_0
11730,583568_0,33705_583568_0
11731,583569_1,33705_583569_1
11732,583568_3,33705_583568_3
11903,585068_2,33776_585068_2
11907,585068_3,33776_585068_3
11932,585642_0,33806_585642_0
11936,585642_1,33806_585642_1
11948,585611_0,33807_585611_0
11952,585611_1,33807_585611_1
11961,585618_0,33807_585618_0
11965,585618_1,33807_585618_1
11974,585726_0,33812_585726_0
11975,585726_1,33812_585726_1
11982,585726_2,33812_585726_2
11986,585727_0,33812_585727_0
11990,585727_1,33812_585727_1
12116,588786_0,33968_588786_0
12120,588786_1,33968_588786_1
12124,588787_0,33968_588787_0
12128,588787_1,33968_588787_1
12134,590061_0,34030_590061_0
12138,590061_1,34030_590061_1
12153,590138_0,34033_590138_0
12154,590139_0,34033_590139_0
12161,590138_1,34033_590138_1
12247,591046_0,34081_591046_0
12251,591046_1,34081_591046_1
12312,591444_0,34101_591444_0
12316,591444_1,34101_591444_1
12335,591496_0,34104_591496_0
12336,591496_1,34104_591496_1
12343,591496_2,34104_591496_2
12347,591497_0,34104_591497_0
12351,591497_1,34104_591497_1
12364,591531_0,34106_591531_0
12368,591531_1,34106_591531_1
12441,593385_0,34209_593385_0
12445,593385_1,34209_593385_1
12470,593821_0,34235_593821_0
12474,593821_1,34235_593821_1
12531,594131_0,34255_594131_0
12535,594131_1,34255_594131_1
12596,594566_0,34279_594566_0
12597,594566_1,34279_594566_1
12727,595107_0,34311_595107_0
12731,595107_1,34311_595107_1
12744,595114_0,34311_595114_0
12748,595114_1,34311_595114_1
12766,595384_0,34324_595384_0
12770,595384_1,34324_595384_1
12861,596600_2,34379_596600_2
12865,596600_3,34379_596600_3
12904,596729_0,34386_596729_0
12908,596729_1,34386_596729_1
12920,596804_0,34389_596804_0
12924,596804_1,34389_596804_1
12933,596897_0,34392_596897_0
12937,596897_1,34392_596897_1
12941,596898_0,34392_596898_0
12945,596898_1,34392_596898_1
13001,597240_0,34409_597240_0
13005,597240_1,34409_597240_1
13009,597239_0,34409_597239_0
13013,597239_1,34409_597239_1
13044,597342_0,34413_597342_0
13045,597342_1,34413_597342_1
13067,597438_0,34419_597438_0
13071,597438_1,34419_597438_1
13075,597439_0,34419_597439_0
13079,597439_1,34419_597439_1
13168,598604_0,34487_598604_0
13172,598604_1,34487_598604_1
13221,598796_0,34499_598796_0
13225,598796_1,34499_598796_1
13295,599264_0,34522_599264_0
13299,599264_1,34522_599264_1
13418,602417_0,34665_602417_0
13419,602417_1,34665_602417_1
13487,604262_0,34753_604262_0
13491,604262_1,34753_604262_1
13543,604567_0,34771_604567_0
13544,604555_0,34771_604555_0
13545,604557_0,34771_604557_0
13546,604557_1,34771_604557_1
13547,604558_0,34771_604558_0
13548,604567_1,34771_604567_1
13549,604555_1,34771_604555_1
13550,604557_2,34771_604557_2
13551,604558_1,34771_604558_1
13622,605249_0,34809_605249_0
13626,605249_1,34809_605249_1
13630,605252_0,34809_605252_0
13634,605252_1,34809_605252_1
13687,606083_1,34848_606083_1
13688,606083_0,34848_606083_0
13698,606179_1,34854_606179_1
13699,606179_0,34854_606179_0
13736,606359_0,34864_606359_0
13740,606359_1,34864_606359_1
13746,606440_0,34867_606440_0
13750,606440_1,34867_606440_1
13758,606443_0,34867_606443_0
13762,606443_1,34867_606443_1
13784,606980_0,34898_606980_0
13785,606980_1,34898_606980_1
13900,607520_0,34925_607520_0
13904,607520_1,34925_607520_1
13937,608576_0,34960_608576_0
13941,608576_1,34960_608576_1
13945,608578_0,34960_608578_0
13949,608578_1,34960_608578_1
13955,609225_0,34992_609225_0
13959,609225_1,34992_609225_1
14007,610048_0,35043_610048_0
14011,610048_1,35043_610048_1
14024,610053_0,35043_610053_0
14028,610053_1,35043_610053_1
14130,610862_0,35088_610862_0
14134,610862_1,35088_610862_1
14138,610863_0,35088_610863_0
14142,610863_1,35088_610863_1
14163,610874_0,35089_610874_0
14167,610874_1,35089_610874_1
14203,611022_0,35097_611022_0
14207,611022_1,35097_611022_1
14215,611027_0,35097_611027_0
14219,611027_1,35097_611027_1
14326,613720_0,35258_613720_0
14327,613729_0,35258_613729_0
14328,613720_1,35258_613720_1
14329,613729_1,35258_613729_1
14465,614258_0,35286_614258_0
14469,614258_1,35286_614258_1
14473,614264_0,35286_614264_0
14477,614264_1,35286_614264_1
14496,614357_0,35291_614357_0
14500,614357_1,35291_614357_1
14524,614452_0,35296_614452_0
14528,614452_1,35296_614452_1
14552,614487_0,35298_614487_0
14553,614483_0,35298_614483_0
14554,614487_1,35298_614487_1
14555,614483_1,35298_614483_1
14576,614575_0,35301_614575_0
14580,614575_1,35301_614575_1
14594,614566_0,35301_614566_0
14598,614566_1,35301_614566_1
14643,614666_0,35305_614666_0
14647,614666_1,35305_614666_1
14663,614751_0,35311_614751_0
14667,614751_1,35311_614751_1
14725,615286_0,35332_615286_0
14729,615286_1,35332_615286_1
14733,615283_0,35332_615283_0
14737,615283_1,35332_615283_1
14764,615820_0,35357_615820_0
14768,615820_1,35357_615820_1
14803,615996_0,35366_615996_0
14807,615996_1,35366_615996_1
14839,616066_0,35368_616066_0
14843,616066_1,35368_616066_1
14920,617206_0,35433_617206_0
14924,617206_1,35433_617206_1
14928,617207_0,35433_617207_0
14932,617207_1,35433_617207_1
14962,617231_0,35434_617231_0
14966,617231_1,35434_617231_1
14991,617533_0,35445_617533_0
15068,617695_0,35455_617695_0
15072,617695_1,35455_617695_1
15138,617948_0,35467_617948_0
15142,617948_1,35467_617948_1
15211,619306_0,35525_619306_0
15215,619306_1,35525_619306_1
15306,621054_0,35615_621054_0
15307,621046_0,35615_621046_0
15308,621054_1,35615_621054_1
15309,621046_1,35615_621046_1
15357,621198_0,35623_621198_0
15361,621198_1,35623_621198_1
15372,621205_0,35623_621205_0
15376,621205_1,35623_621205_1
15382,621444_0,35637_621444_0
15383,621438_0,35637_621438_0
15390,621444_1,35637_621444_1
15394,621443_0,35637_621443_0
15398,621443_1,35637_621443_1
15479,622432_0,35683_622432_0
15483,622432_1,35683_622432_1
15487,622426_0,35683_622426_0
